sol,month,min_temp,max_temp
1686,12,-75,-13
1685,12,-77,-14
1684,12,-75,-14
1683,12,-75,-15
1682,12,-76,-13
1681,12,-74,-12
1680,12,-74,-11
1679,12,-75,-12
1678,12,-74,-11
1677,12,-74,-8
1676,12,-76,-11
1675,12,-75,-6
1674,12,-75,-6
1673,12,-75,-6
1672,12,-74,-5
1671,12,-76,-7
1670,12,-76,-12
1669,12,-74,-12
1668,12,-77,-4
1667,12,-76,-9
1666,12,-76,-8
1665,12,-76,-7
1664,12,-74,-8
1663,12,-74,-6
1662,12,-75,-3
1661,12,-75,-5
1660,12,-74,-5
1659,12,-77,-7
1658,12,-77,-8
1657,12,-75,-9
1656,12,-75,-3
1655,12,-76,-14
1654,12,-75,-17
1653,12,-75,-15
1652,12,-76,-15
1651,12,-77,-8
1650,12,-75,-8
1649,12,-74,-8
1648,12,-73,-14
1647,12,-73,-3
1646,12,-74,-8
1645,12,-74,-3
1644,12,-74,-10
1643,12,-74,-11
1642,12,-72,-13
1641,12,-72,-6
1640,12,-72,-8
1639,12,-71,-6
1638,12,-73,-9
1637,12,-73,-10
1636,12,-72,-14
1635,12,-73,-7
1634,12,-72,-5
1633,12,-75,-4
1632,12,-72,-4
1631,11,-77,-6
1630,11,-77,-6
1629,11,-74,-8
1628,11,-71,-8
1627,11,-72,-9
1626,11,-71,-11
1625,11,-71,-8
1624,11,-72,-8
1623,11,-71,-10
1622,11,-71,-9
1621,11,-73,-13
1620,11,-70,-9
1619,11,-73,-8
1618,11,-71,-7
1617,11,-72,-8
1616,11,-73,-8
1615,11,-73,-5
1614,11,-73,-8
1613,11,-72,-2
1609,11,-71,-7
1608,11,-72,-8
1607,11,-77,-12
1606,11,-75,-10
1605,11,-73,-13
1604,11,-77,-11
1603,11,-76,-5
1602,11,-77,-5
1601,11,-71,-2
1600,11,-71,-7
1599,11,-72,-7
1598,11,-70,-4
1597,11,-73,-8
1596,11,-74,-6
1595,11,-71,-7
1594,11,-74,-6
1593,11,-72,-1
1592,11,-71,0
1591,11,-73,-1
1590,11,-76,-1
1589,11,-72,-2
1588,11,-72,0
1587,11,-73,-1
1586,11,-72,-1
1585,11,-76,-2
1584,11,-77,-2
1583,11,-75,-4
1582,11,-74,-1
1581,10,-72,-1
1580,10,-72,-2
1579,10,-73,-3
1578,10,-74,-5
1577,10,-72,-3
1576,10,-72,-1
1575,10,-73,0
1574,10,-72,4
1573,10,-74,-2
1572,10,-81,-6
1571,10,-70,-3
1570,10,-71,-6
1569,10,-70,-4
1568,10,-71,-5
1567,10,-70,-5
1566,10,-76,-6
1565,10,-72,-6
1564,10,-70,-7
1563,10,-75,-6
1562,10,-73,-5
1561,10,-77,-8
1560,10,-76,-10
1559,10,-76,-7
1558,10,-72,-6
1557,10,-70,-6
1556,10,-72,-5
1555,10,-71,-6
1554,10,-70,-7
1553,10,-77,-9
1552,10,-74,-6
1551,10,-71,0
1550,10,-71,-1
1549,10,-76,-2
1548,10,-76,-8
1547,10,-75,-8
1546,10,-73,-7
1545,10,-73,3
1544,10,-71,1
1543,10,-74,-7
1542,10,-73,-9
1541,10,-76,-8
1540,10,-72,-3
1539,10,-74,-1
1538,10,-73,-3
1537,10,-74,-7
1536,10,-71,-4
1535,10,-73,-1
1534,10,-73,-2
1533,9,-72,-4
1532,9,-72,-3
1531,9,-76,-10
1530,9,-71,-4
1529,9,-73,3
1528,9,-72,-4
1527,9,-71,-6
1526,9,-72,-2
1525,9,-74,-2
1524,9,-76,-4
1523,9,-77,-10
1522,9,-71,-2
1521,9,-71,-1
1520,9,-73,-2
1519,9,-72,5
1518,9,-78,-8
1517,9,-76,2
1516,9,-71,4
1515,9,-76,3
1514,9,-73,0
1513,9,-74,-1
1512,9,-78,0
1511,9,-77,0
1510,9,-70,2
1509,9,-70,3
1508,9,-70,-2
1507,9,-70,-3
1506,9,-71,-1
1505,9,-69,2
1504,9,-69,-1
1503,9,-70,3
1502,9,-69,0
1501,9,-69,3
1500,9,-70,-4
1499,9,-69,-2
1498,9,-68,-9
1497,9,-68,-5
1496,9,-72,-8
1495,9,-71,-7
1494,9,-70,-8
1493,9,-70,-11
1492,9,-68,-10
1491,9,-69,-8
1490,9,-66,-10
1489,9,-68,-8
1488,9,-69,-6
1487,8,-68,-5
1486,8,-71,-1
1485,8,-71,3
1484,8,-68,4
1483,8,-68,1
1482,8,-68,2
1481,8,-70,1
1480,8,-68,1
1479,8,-66,3
1478,8,-68,1
1477,8,-72,0
1476,8,-69,2
1475,8,-72,2
1474,8,-68,2
1473,8,-67,4
1472,8,-68,5
1471,8,-71,4
1470,8,-70,1
1469,8,-72,1
1468,8,-70,5
1467,8,-69,-4
1466,8,-67,-6
1465,8,-68,-3
1464,8,-71,-6
1463,8,-68,-1
1462,8,-68,-5
1461,8,-69,-7
1460,8,-70,-4
1459,8,-71,-2
1458,8,-69,-1
1457,8,-69,-5
1456,8,-69,-1
1455,8,-70,-4
1454,8,-69,3
1453,8,-73,5
1452,8,-74,5
1451,8,-71,5
1450,8,-69,5
1449,8,-71,5
1448,8,-69,5
1447,8,-74,4
1446,8,-70,6
1445,8,-69,1
1444,8,-69,8
1443,8,-69,7
1442,8,-68,0
1441,8,-74,10
1440,7,-70,4
1439,7,-71,5
1438,7,-68,11
1437,7,-71,7
1436,7,-72,4
1435,7,-71,4
1434,7,-70,0
1433,7,-70,6
1432,7,-71,7
1431,7,-69,7
1430,7,-69,5
1429,7,-70,4
1428,7,-72,4
1427,7,-72,8
1426,7,-71,-6
1425,7,-72,-8
1424,7,-72,-8
1423,7,-71,-9
1422,7,-72,-9
1421,7,-72,-9
1420,7,-71,-8
1419,7,-73,-7
1418,7,-73,-9
1417,7,-70,-8
1416,7,-72,5
1415,7,-72,8
1414,7,-73,7
1413,7,-72,5
1412,7,-78,4
1411,7,-72,6
1410,7,-72,7
1409,7,-74,-9
